name,start_time,duration,"data"
"Async Serial",0.99188656,0.00030436,"\n"
"Async Serial",0.9922069,0.00030436,"["
"Async Serial",0.99252724,0.00030436,"M"
"Async Serial",0.99284758,0.00030436,"S"
"Async Serial",0.99316792,0.00030436,"G"
"Async Serial",0.99348828,0.00030436,"]"
"Async Serial",0.99380862,0.00030436," "
"Async Serial",0.99412896,0.00030436,"A"
"Async Serial",0.9944493,0.00030436,"c"
"Async Serial",0.99476966,0.00030436,"t"
"Async Serial",0.99509,0.00030436,"i"
"Async Serial",0.99541034,0.00030436,"v"
"Async Serial",0.99573068,0.00030436,"i"
"Async Serial",0.99605104,0.00030436,"t"
"Async Serial",0.99637138,0.00030436,"y"
"Async Serial",0.99669172,0.00030436," "
"Async Serial",0.99701206,0.00030436,"f"
"Async Serial",0.9973324,0.00030436,"r"
"Async Serial",0.99765276,0.00030436,"o"
"Async Serial",0.9979731,0.00030436,"m"
"Async Serial",0.99829344,0.00030436,":"
"Async Serial",0.99861378,0.00030436," "
"Async Serial",0.99893414,0.00030436,"4"
"Async Serial",0.99925448,0.00030436,"3"
"Async Serial",0.99957482,0.00030436,"1"
"Async Serial",0.99989516,0.00030436,"d"
"Async Serial",1.0002155,0.00030436,"5"
"Async Serial",1.00053586,0.00030436,"9"
"Async Serial",1.0008562,0.00030436,"1"
"Async Serial",1.00117654,0.00030436,"c"
"Async Serial",1.00149688,0.00030436,"6"
"Async Serial",1.00181724,0.00030436,"e"
"Async Serial",1.00213758,0.00030436,"e"
"Async Serial",1.00245792,0.00030436,"d"
"Async Serial",1.00277826,0.00030436,"3"
"Async Serial",1.00309862,0.00030436,"b"
"Async Serial",1.00341896,0.00030436,"6"
"Async Serial",1.0037393,0.00030436,"e"
"Async Serial",1.00405964,0.00030436,"7"
"Async Serial",1.00437998,0.00030436,"9"
"Async Serial",1.00470034,0.00030436,"3"
"Async Serial",1.00502068,0.00030436,"b"
"Async Serial",1.00534102,0.00030436,"3"
"Async Serial",1.00566136,0.00030436,"1"
"Async Serial",1.00598172,0.00030436,"6"
